"method","rates","Site","Transect","totalg","lower.ci","upper.ci"
"CoralNet","Cari_v1_wo_bio","Atravesado","T006",0.160071428571429,0.133357142857143,0.193071428571429
"CoralNet","Cari_v1_wo_bio","Atravesado","T051",0.1845,0.156625,0.2203125
"CoralNet","Cari_v1_wo_bio","Atravesado","T053",0.237176470588235,0.201647058823529,0.283176470588235
"CoralNet","Cari_v1_wo_bio","Atravesado","T073",0.215176470588235,0.183588235294118,0.257411764705882
"CoralNet","Cari_v1_wo_bio","Atravesado","T077",0.22,0.188166666666667,0.262777777777778
"CoralNet","Cari_v1_wo_bio","Atravesado","T079",0.360777777777778,0.314388888888889,0.409833333333333
"CoralNet","Cari_v1_wo_bio","El Palo","T001",0.0776470588235294,0.0660588235294118,0.0928235294117647
"CoralNet","Cari_v1_wo_bio","El Palo","T017",0.2557,0.21915,0.29615
"CoralNet","Cari_v1_wo_bio","El Palo","T018",0.978833333333333,0.854722222222222,1.10977777777778
"CoralNet","Cari_v1_wo_bio","El Palo","T033",0.934777777777778,0.812166666666667,1.06411111111111
"CoralNet","Cari_v1_wo_bio","El Palo","T066",0.449941176470588,0.401294117647059,0.506352941176471
"CoralNet","Cari_v1_wo_bio","El Palo","T084",0.444823529411765,0.400235294117647,0.492352941176471
"CoralNet","Cari_v1_wo_bio","Laurel","T027",0.456888888888889,0.392055555555556,0.530944444444444
"CoralNet","Cari_v1_wo_bio","Laurel","T030",0.766529411764706,0.662705882352941,0.874
"CoralNet","Cari_v1_wo_bio","Laurel","T031",0.258869565217391,0.221347826086957,0.301173913043478
"CoralNet","Cari_v1_wo_bio","Laurel","T061",0.163,0.138222222222222,0.193333333333333
"CoralNet","Cari_v1_wo_bio","Laurel","T094",0.148944444444444,0.122777777777778,0.180555555555556
"CoralNet","Cari_v1_wo_bio","Laurel","T095",0.435642857142857,0.372928571428571,0.507714285714286
"CoralNet","Cari_v1_wo_bio","San Cristobal","T010",0.9875,0.853625,1.1254375
"CoralNet","Cari_v1_wo_bio","San Cristobal","T029",0.630625,0.5463125,0.7169375
"CoralNet","Cari_v1_wo_bio","San Cristobal","T030",0.386176470588235,0.321,0.453470588235294
"CoralNet","Cari_v1_wo_bio","San Cristobal","T040",0.501,0.45175,0.55825
"CoralNet","Cari_v1_wo_bio","San Cristobal","T080",1.05642857142857,0.905952380952381,1.21295238095238
"CoralNet","Cari_v1_wo_bio","San Cristobal","T090",0.322777777777778,0.265444444444444,0.385388888888889
"CoralNet","Carib_v2_wo_bio.GBncrmp","Atravesado","T006",0.1955,0.153571428571429,0.237571428571429
"CoralNet","Carib_v2_wo_bio.GBncrmp","Atravesado","T051",0.198,0.151125,0.244875
"CoralNet","Carib_v2_wo_bio.GBncrmp","Atravesado","T053",0.252,0.192352941176471,0.311647058823529
"CoralNet","Carib_v2_wo_bio.GBncrmp","Atravesado","T073",0.238647058823529,0.182352941176471,0.294941176470588
"CoralNet","Carib_v2_wo_bio.GBncrmp","Atravesado","T077",0.232222222222222,0.177222222222222,0.287222222222222
"CoralNet","Carib_v2_wo_bio.GBncrmp","Atravesado","T079",0.371722222222222,0.306444444444444,0.437833333333333
"CoralNet","Carib_v2_wo_bio.GBncrmp","El Palo","T001",0.0864117647058824,0.0659411764705882,0.106882352941176
"CoralNet","Carib_v2_wo_bio.GBncrmp","El Palo","T017",0.2719,0.21565,0.32785
"CoralNet","Carib_v2_wo_bio.GBncrmp","El Palo","T018",0.898166666666667,0.754833333333333,1.04283333333333
"CoralNet","Carib_v2_wo_bio.GBncrmp","El Palo","T033",0.883111111111111,0.735222222222222,1.03322222222222
"CoralNet","Carib_v2_wo_bio.GBncrmp","El Palo","T066",0.458176470588235,0.388882352941176,0.527647058823529
"CoralNet","Carib_v2_wo_bio.GBncrmp","El Palo","T084",0.464529411764706,0.394764705882353,0.534941176470588
"CoralNet","Carib_v2_wo_bio.GBncrmp","Laurel","T027",0.470277777777778,0.376055555555556,0.5655
"CoralNet","Carib_v2_wo_bio.GBncrmp","Laurel","T030",0.781470588235294,0.659705882352941,0.904705882352941
"CoralNet","Carib_v2_wo_bio.GBncrmp","Laurel","T031",0.341086956521739,0.267347826086957,0.414478260869565
"CoralNet","Carib_v2_wo_bio.GBncrmp","Laurel","T061",0.220166666666667,0.174444444444444,0.265722222222222
"CoralNet","Carib_v2_wo_bio.GBncrmp","Laurel","T094",0.228666666666667,0.188888888888889,0.268555555555556
"CoralNet","Carib_v2_wo_bio.GBncrmp","Laurel","T095",0.435071428571429,0.346714285714286,0.524285714285714
"CoralNet","Carib_v2_wo_bio.GBncrmp","San Cristobal","T010",0.93,0.77775,1.08425
"CoralNet","Carib_v2_wo_bio.GBncrmp","San Cristobal","T029",0.6141875,0.507375,0.72175
"CoralNet","Carib_v2_wo_bio.GBncrmp","San Cristobal","T030",0.517764705882353,0.447941176470588,0.586882352941176
"CoralNet","Carib_v2_wo_bio.GBncrmp","San Cristobal","T040",0.5246875,0.45625,0.593125
"CoralNet","Carib_v2_wo_bio.GBncrmp","San Cristobal","T080",0.972380952380952,0.805571428571428,1.14247619047619
"CoralNet","Carib_v2_wo_bio.GBncrmp","San Cristobal","T090",0.460888888888889,0.402666666666667,0.519055555555556
